# Genotype, Graduation day, Dorsal Fluorescence, Ventral Fluorescence
TeLC,20,1476.7157142857143,498.5161428571429
TeLC,15,463.10828571428567,0.6538571428571427
TeLC,20,1227.704857142857,437.09242857142857
TeLC,20,1493.5554285714286,242.57085714285716
TeLC,7,552.346,1.953285714285714
TeLC,20,1629.6274285714285,8.381142857142859
TeLC,8,581.5325714285715,3.8081428571428573
TeLC,12,331.5122857142857,4.893857142857144
TeLC,11,768.0891428571429,4.303714285714286
TeLC,10,0.0,0.0
GFP,7,921.3724285714286,0.9494285714285715
GFP,9,885.3541428571427,13.066285714285714
GFP,7,309.7557142857143,5.501428571428572
GFP,7,901.3810000000001,4.2907142857142855
GFP,7,194.18685714285715,17.567285714285717
GFP,7,0.0,0.0
