# Genotype, Dorsal Fluorescence,Beaconed,Probe
GFP,921.3724285714286,65.30515051980913,59.32357506950696
GFP,885.3541428571427,82.26294099568403,85.59681538740794
GFP,309.7557142857143,77.92950676869123,74.62207090854645
GFP,901.3810000000001,71.510209796812,68.78912059466045
GFP,194.18685714285715,84.75289286264237,84.64531055014545
GFP,0.0,86.52063086013406,85.94230402991886
lTeLC,463.10828571428567,45.490954001744605,47.889849503835045
lTeLC,552.346,65.41247032434637,62.36505309740703
lTeLC,581.5325714285715,73.02259668377062,61.17605618635814
lTeLC,331.5122857142857,62.55496841470399,66.33204984664917
lTeLC,768.0891428571429,76.86826085044399,77.11001030604045
lTeLC,0.0,68.64254080088367,50.61927509307861
hTeLC,1476.7157142857143,55.227938421136855,nan
hTeLC,1227.704857142857,70.45417437062117,nan
hTeLC,1493.5554285714286,59.68560662094285,nan
hTeLC,1629.6274285714285,56.111340895971615,nan
