# Genotype,Dorsal fluorescence,Beaconed,Probe
GFP,921.3724285714286,18.052113232012484,-4.29194464366096
GFP,885.3541428571427,13.962496566052653,7.0931869948180974
GFP,309.7557142857143,16.633663990523836,13.49821367439122
GFP,901.3810000000001,12.986033459149633,12.077312512782118
GFP,194.18685714285715,24.886419222173195,13.033106798661844
GFP,0.0,17.83601368453713,13.288455668671073
lTeLC,463.10828571428567,3.997183374031624,1.0683580548392915
lTeLC,552.346,12.036942208460417,8.206435254548833
lTeLC,581.5325714285715,12.277830879256172,1.9902744035420277
lTeLC,331.5122857142857,11.590347271655235,1.7841821767445485
lTeLC,768.0891428571429,17.779307289122563,9.917503755127791
lTeLC,0.0,2.7005571821917527,0.08325834837474719
hTeLC,1476.7157142857143,5.406118026301198,nan
hTeLC,1227.704857142857,4.8522822611469625,nan
hTeLC,1493.5554285714286,-0.16306867969703287,nan
hTeLC,1629.6274285714285,5.5545688132878555,nan
