# Genotype,Beaconed,Probe
GFP,21.291264588709762,29.48778537010902
GFP,39.597202691413564,32.67218241432278
GFP,29.19123466130653,20.185174406305556
GFP,26.7110504102142,23.735058236029573
GFP,45.74864883705397,43.10032428854598
GFP,55.33714047205595,52.62696453130378
lTeLC,10.48569195856168,5.548348302940007
lTeLC,26.466224404457265,16.814045370433206
lTeLC,35.170233597086074,21.845399655498788
lTeLC,nan,nan
lTeLC,54.509288906374934,49.69527861797094
lTeLC,21.989515050692113,16.64374034499418
hTeLC,35.208114672139885,nan
hTeLC,25.06066649330588,nan
hTeLC,31.69266993210088,nan
hTeLC,27.392899314374564,nan
